P_i (Model Probability),R_i (Recovery Score),BFD_i (Fairness Divergence),BFI (FAADS Score),SVE Decision,RF_pred,XGB_pred
0.78823894,0.0,0.17677290348852467,0.540016084741163,No Intervention,3,3
0.5702662,0.0,0.1472930722752506,0.478108207928284,No Intervention,3,3
0.9991843,0.0,0.13938376105198297,0.622340359779542,Instructor Review,4,4
0.99972814,0.0,0.012118272595120584,0.665790095440294,Instructor Review,0,0
0.998869,0.0,0.23210260303056404,0.5907118837970466,No Intervention,2,2
0.7132531,0.0,0.21579299516247596,0.5020039084563579,No Intervention,1,1
0.99958915,0.0,0.3555902887622448,0.5489637441693169,No Intervention,4,4
0.99905545,0.0,0.21585616745049452,0.5962972136900009,No Intervention,4,4
0.9992447,0.0,0.16685034164616436,0.6130216303288754,Instructor Review,4,4
0.99489695,0.0,0.21189014321841518,0.5962733543899217,No Intervention,1,1
0.98111445,0.0,0.231511992399914,0.5850537038416586,No Intervention,4,4
0.8952998,0.0,0.1700969814552503,0.5776159553766413,No Intervention,3,1
0.97384393,0.0,0.23934091803382382,0.5799926033599855,No Intervention,1,1
0.9996884,0.0,0.23934091803382382,0.5885212829692842,No Intervention,0,0
0.99413526,0.0,0.22759776980472293,0.5906814085635592,No Intervention,1,1
0.99905545,0.0,0.19237035411286726,0.604282390224794,Instructor Review,2,2
0.99972814,0.0,0.1962910189158409,0.6031713616912491,Instructor Review,0,0
0.9991673,0.0,0.17286314447727213,0.6109517665783348,Instructor Review,4,4
0.99896026,0.0,0.2628581168415124,0.5802851392492581,No Intervention,2,2
0.9946043,0.0,0.2589156957209032,0.5801880772122172,No Intervention,1,1
0.9360787,0.0,0.17663262479342073,0.5888508965018928,No Intervention,1,1
0.9991923,0.0,0.28240338077226335,0.5737163116790168,No Intervention,2,2
0.99933666,0.0,0.2863251652601549,0.5724305588666316,No Intervention,2,2
0.97847885,0.0,0.12135780780846653,0.6216363756261882,Instructor Review,1,1
0.9992066,0.0,0.19295229229049238,0.6041344203320785,Instructor Review,4,4
0.9995808,0.0,0.17680214029983002,0.609748943030556,Instructor Review,4,4
0.98811823,0.0,0.31450631621446556,0.5591468932528441,No Intervention,3,3
0.99958915,0.0,0.1962910189158409,0.6031254959170944,Instructor Review,4,4
0.947556,0.0,0.20297552634240842,0.5836818275228445,No Intervention,0,0
