Student_Label,Section,Exam,IGV,IL,SER,n_unanswered,n_questions,blank_ratio,duration_sec,start_min,score_pct,Label,BFD,is_disrupted,RIF
Student_FZ,Section_202,Midterm1,0.0,15.0,0.9259259259259259,2,27,0.07407407407407407,4440,15,81.48,Normal,0.0,False,0
Student_GA,Section_102,Midterm1,0.0,17.0,0.9259259259259259,2,27,0.07407407407407407,1357,17,70.36,Normal,0.0,False,0
Student_GB,Section_201,Midterm1,5.822485207100592,18.0,0.4444444444444444,14,27,0.5185185185185185,4260,18,,P3,0.1339094088843621,True,1
Student_GC,Section_102,Midterm1,0.9629629629629629,19.0,0.9259259259259259,1,27,0.037037037037037035,3780,19,,Normal,0.11837539858858956,False,0
Student_GD,Section_102,Midterm1,0.0,20.0,0.9259259259259259,0,27,0.0,3154,20,,Normal,0.13075563512092223,False,0
Student_GE,Section_101,Midterm1,0.0,20.0,0.9259259259259259,0,27,0.0,2683,20,,Normal,0.0,False,0
Student_GF,Section_101,Midterm1,0.0,22.0,0.9259259259259259,2,27,0.07407407407407407,3063,22,81.48,Normal,0.0,False,0
Student_GG,Section_103,Midterm1,0.0,23.0,0.9259259259259259,0,27,0.0,2860,23,,Normal,0.0,False,0
Student_GH,Section_202,Midterm1,0.9629629629629629,23.0,0.9259259259259259,1,27,0.037037037037037035,3960,23,,Normal,0.1927447820878902,False,0
Student_GI,Section_102,Midterm1,0.0,24.0,0.9259259259259259,0,27,0.0,2097,24,,Normal,0.16473823124076478,False,1
Student_GJ,Section_201,Midterm1,0.0,26.0,0.9259259259259259,0,27,0.0,3098,26,,Normal,0.19606951218910953,False,1
Student_GK,Section_201,Midterm1,0.0,26.0,0.9259259259259259,0,27,0.0,3720,26,,Normal,0.19603477034078542,False,0
Student_GL,Section_103,Midterm1,0.0,30.0,0.9259259259259259,2,27,0.07407407407407407,2047,30,74.08,Normal,0.0,False,0
Student_GM,Section_102,Midterm1,0.0,32.0,0.9259259259259259,2,27,0.07407407407407407,1213,32,77.76,Normal,0.15692425516160213,False,1
Student_GN,Section_101,Midterm1,0.0,35.0,0.9259259259259259,2,27,0.07407407407407407,3271,35,62.96000000000001,Normal,0.297927629208463,False,1
Student_GO,Section_102,Midterm1,0.0,36.0,0.9259259259259259,2,27,0.07407407407407407,1794,36,55.559999999999995,Normal,0.4164689776135836,False,1
Student_GP,Section_103,Midterm1,0.9629629629629629,42.0,0.9259259259259259,1,27,0.037037037037037035,1628,42,,Normal,0.26473413435220766,False,0
Student_GQ,Section_102,Midterm1,0.0,51.0,0.9259259259259259,2,27,0.07407407407407407,1250,51,88.88,Normal,0.0,False,0
Student_GR,Section_102,Midterm1,21.76,52.0,0.7777777777777778,6,27,0.2222222222222222,3168,52,62.96000000000001,Normal,0.5109609154415542,False,0
